EVA_NR;DS100;IFOPT;NAME;Verkehr;Laenge;Breite;Betreiber_Name;Betreiber_Nr;Status
8004168;MFHM,MFHT;de:09178:3240;München Flughafen Terminal;78;11,78597;48,353728;DB Station und Service AG;1822;
8011201;BFBI;de:12061:900260009;Flughafen BER - Terminal 1-2;FV;13,5119498;52,3648038;DB Station und Service AG;;neu
8000001;KA;de:05334:1008;Aachen Hbf;FV;6,091499;50,7678;DB Station und Service AG;1;
8000002;TA;de:08136:1000;Aalen Hbf;FV;10,096271;48,841013;DB Station und Service AG;4;
8000004;HA;de:05774:7131;Altenbeken;FV;8,943319;51,766433;DB Station und Service AG;85;
8000009;NAN;de:09561:11000;Ansbach;FV;10,578239;49,298032;DB Station und Service AG;161;
8000010;NAH;de:09661:99082;Aschaffenburg Hbf;FV;9,143697;49,980557;DB Station und Service AG;187;
8000013;MA;de:09761:100;Augsburg Hbf;FV;10,88557;48,365441;DB Station und Service AG;220;
8000014;TAU;de:08436:1000;Aulendorf;FV;9,644046;47,953052;DB Station und Service AG;226;
8000020;FBHF;de:06632:202026;Bad Hersfeld;FV;9,716182;50,869632;DB Station und Service AG;282;
8000025;NBA;de:09461:20010;Bamberg;FV;10,899489;49,900759;DB Station und Service AG;393;
8000026;RB;ch:23005:6;Basel Bad Bf;FV;7,607805;47,567288;Schweizerischen Bundesbahnen;;
8000029;FB;de:06632:202110;Bebra;FV;9,797788;50,969568;DB Station und Service AG;443;
8000031;FBH;de:06431:236;Bensheim;FV;8,616717;49,681329;DB Station und Service AG;488;
8000036;EBILP;de:05711:5500;Bielefeld Hbf;FV;8,532722;52,029261;DB Station und Service AG;622;
8000039;FBGK;de:07339:8183;Bingen(Rhein) Hbf;FV;7,884263;49,968729;DB Station und Service AG;649;
8000041;EBO;de:05911:5194;Bochum Hbf;FV;7,223275;51,478609;DB Station und Service AG;724;
8000044;KB;de:05314:61101;Bonn Hbf;FV;7,097136;50,732008;DB Station und Service AG;767;
8000045;KBOP;de:07140:060039;Boppard Hbf;FV;7,586102;50,231413;DB Station und Service AG;776;
8000049;HBS;de:03101:178;Braunschweig Hbf;FV;10,540295;52,252218;DB Station und Service AG;835;
8000050;HB;de:04011:13927;Bremen Hbf;FV;8,813834;53,083481;DB Station und Service AG;855;
8000055;RBR;de:08215:1856;Bruchsal;FV;8,589649;49,124622;DB Station und Service AG;904;
8000057;MBU;de:09777:1000;Buchloe;FV;10,716217;48,033723;DB Station und Service AG;944;
8000058;ABCH;de:01053:8000058;Büchen;FV;10,623298;53,474972;DB Station und Service AG;929;
8000059;HBDE;de:05758:1120;Bünde(Westf);FV;8,573876;52,202075;DB Station und Service AG;968;
8000064;HC;de:03351:50;Celle;FV;10,0626343;52,6209628;DB Station und Service AG;1036;
8000067;TC;de:08127:21001;Crailsheim;FV;10,064326;49,137872;DB Station und Service AG;1079;
8000068;FD;de:06411:4734;Darmstadt Hbf;FV;8,629636;49,872503;DB Station und Service AG;1126;
8000070;HD;de:03401:19646;Delmenhorst;FV;8,629758;53,052792;DB Station und Service AG;1159;
8000073;RSI;de:08335:6588;Singen(Hohentwiel);FV;8,840383;47,758438;DB Station und Service AG;5865;
8000076;ESOT;de:05974:11246;Soest;FV;8,104589;51,578419;DB Station und Service AG;5876;
8000077;RDO;de:08326:6537;Donaueschingen;FV;8,498919;47,947786;DB Station und Service AG;1264;
8000078;MDT;de:09779:5500;Donauwörth;FV;10,771443;48,714026;DB Station und Service AG;1265;
8000080;EDO,EDO N;de:05913:131;Dortmund Hbf;FV;7,45929;51,517896;DB Station und Service AG;1289;
8000082;KDFF,KDFFH;de:05111:18488;Düsseldorf Flughafen;FV;6,786836;51,292009;DB Station und Service AG;1400;
8000084;KDN,KDN P;de:05358:2286;Düren;FV;6,482451;50,809517;DB Station und Service AG;1392;
8000085;KD;de:05111:18235;Düsseldorf Hbf;FV;6,794319;51,219962;DB Station und Service AG;1401;
8000086;EDG;de:05112:16032;Duisburg Hbf;FV;6,775903;51,429785;DB Station und Service AG;1374;
8000087;KSO;de:05122:13800;Solingen Hbf;FV;7,004187;51,160766;DB Station und Service AG;5882;
8000091;NSTN;de:09575:14350;Steinach(b Rothenburg ob der Tauber);FV;10,273535;49,453218;DB Station und Service AG;5981;
8000092;AEL;de:01056:97960;Elmshorn;FV;9,659408;53,754025;DB Station und Service AG;1558;
8000093;HELZ;de:03254:21616;Elze(Han);FV;9,746894;52,120147;DB Station und Service AG;1577;
8000095;NST;de:09263:2600;Straubing;FV;12,574094;48,876978;DB Station und Service AG;6056;
8000096;TS;de:08111:6115;Stuttgart Hbf;FV;9,181635;48,784084;DB Station und Service AG;6071;
8000098;EE;de:05113:9289;Essen Hbf;FV;7,014793;51,451355;DB Station und Service AG;1690;
8000101;TET;de:08237:7965;Eutingen im Gäu;FV;8,782236;48,479952;DB Station und Service AG;1738;
8000103;AF;de:01001:27253;Flensburg;FV;9,436526;54,774039;DB Station und Service AG;1810;
8000105;FF;de:06412:10;Frankfurt(Main)Hbf;FV;8,663789;50,107145;DB Station und Service AG;1866;
8000107;RF;de:08311:6508;Freiburg(Breisgau) Hbf;FV;7,84117;47,997697;DB Station und Service AG;1893;
8000108;MFL;de:09172:42293;Freilassing;FV;12,977193;47,836916;DB Station und Service AG;1906;
8000111;FFG;de:06440:6401;Friedberg(Hess);FV;8,762056;50,332606;DB Station und Service AG;1930;
8000112;TF;de:08435:44002;Friedrichshafen Stadt;FV;9,4739;47,653224;DB Station und Service AG;1947;
8000114;NF;de:09563:2110;Fürth(Bay)Hbf;FV;10,989988;49,469707;DB Station und Service AG;1984;
8000115;FFU;de:06631:11049;Fulda;FV;9,683977;50,554723;DB Station und Service AG;1973;
8000116;MTS;de:09189:41179;Traunstein;FV;12,638801;47,869727;DB Station und Service AG;6240;
8000118;EG;de:05513:5613;Gelsenkirchen Hbf;FV;7,102455;51,504903;DB Station und Service AG;2052;
8000122;MTL;de:09577:16200;Treuchtlingen;FV;10,908159;48,961267;DB Station und Service AG;6252;
8000124;FG;de:06531:11016;Gießen;FV;8,661462;50,579059;DB Station und Service AG;2120;
8000127;TGO;de:08117:154;Göppingen;FV;9,651969;48,700027;DB Station und Service AG;2189;
8000128;HG;de:03152:33817;Göttingen;FV;9,926072;51,536815;DB Station und Service AG;2218;
8000129;FTS;de:06634:204662;Treysa;FV;9,185673;50,910661;DB Station und Service AG;6256;
8000134;STR;de:07211:1318;Trier Hbf;FV;6,652453;49,756846;DB Station und Service AG;6264;
8000139;MGZB;de:09774:2600;Günzburg;FV;10,2792621;48,4605626;DB Station und Service AG;2422;
8000141;TT;de:08416:11000;Tübingen Hbf;FV;9,055407;48,515811;DB Station und Service AG;6279;
8000142;EHG;de:05914:2007;Hagen Hbf;FV;7,460249;51,362747;DB Station und Service AG;2457;
8000147;AHAR;de:02000:8000147;Hamburg-Harburg;FV;9,991701;53,455908;DB Station und Service AG;2519;
